category,date,title,url
Markups,01/10/2018,"Full Committee Markup- H.R. 4675, the “Low Dose Radiation Research Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4675-low-dose-radiation-research-act-2017
Markups,11/15/2017,Full Committee Markup,https://republicans-science.house.gov/legislation/markups/full-committee-markup-0
Markups,09/28/2017,"Full Committee Markup- H.R. 1159, the ""United States and Israel Space Cooperation Act""",https://republicans-science.house.gov/legislation/markups/full-committee-markup-united-states-and-israel-space-cooperation-act
Markups,06/22/2017,Full Committee Markup-  Small Business Innovation Research and Small Business Technology Transfer Improvements Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-small-business-innovation-research-and-small-business
Markups,06/08/2017,Full Committee Markup - American Space Commerce Free Enterprise Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-american-space-commerce-free-enterprise-act-2017
Markups,05/02/2017,Full Committee Markup - NIST Small Business Cybersecurity Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-nist-small-business-cybersecurity-act-2017
Markups,03/09/2017,"Full Committee Markup- H.R. 1430, the “Honest and Open New EPA Science Treatment Act of 2017” (HONEST Act), and H.R. 1431, the “EPA Science Advisory Board Reform Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-honest-and-open-new-epa-science-treatment-act-2017
Markups,03/01/2017,"Full Committee Markup - H.R. 1224, the “NIST Cybersecurity Framework, Assessment, and Auditing Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-nist-cybersecurity-framework-assessment-and-auditing
Markups,02/07/2017,Full Committee Business Meeting - Adoption of Committee Rules and Approval of Oversight Plan,https://republicans-science.house.gov/legislation/markups/full-committee-business-meeting-adoption-committee-rules-and-approval-0
Markups,09/21/2016,"Full Committee Markup - H.R. 6076, the “To Research, Evaluate, Assess, and Treat Astronauts Act” (TREAT Astronauts Act); H.R. 6066, the “Cybersecurity Responsibility and Accountability Act of 2016”; and  H.R. 5829, the “ADVISE Now Act”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-research-evaluate-assess-and-treat-astronauts-act-treat
Markups,07/07/2016,"Full Committee Markup - “Solar Fuels Innovation Act”, “Electricity Storage Innovation Act”, “National Institute of Standards and Technology Campus Security Act”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-solar-fuels-innovation-act-electricity-storage-innovation
Hearings,07/29/2021,Space and Aeronautics Subcommittee Hearing - Enabling Mission Success from the Ground Up: Addressing NASA’s Urgent Infrastructure Needs,https://republicans-science.house.gov/legislation/hearings/space-and-aeronautics-subcommittee-hearing-enabling-mission-success-ground
Markups,05/25/2016,"Markup of H.R. 5312, the “Networking and Information Technology Research and Development Modernization Act of 2016”",https://republicans-science.house.gov/legislation/markups/markup-hr-5312-networking-and-information-technology-research-and-development
Markups,05/24/2016,"Full Committee Markup - H.R. ____, the “Networking and Information Technology Research and Development Modernization Act of 2016”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-networking-and-information-technology-research-and
Markups,04/27/2016,"Full Committee Markup - H.R. 5049, the “NSF Major Research Facility Reform Act of 2016”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-nsf-major-research-facility-reform-act-2016
Markups,02/11/2016,Full Committee Markup - H.R.4489 - FAA Leadership In Groundbreaking High-Tech Research and Development Act,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-faa-leadership-groundbreaking-high-tech-research-and
Markups,01/12/2016,"Full Committee Markup - H.R. 4084, the “Nuclear Energy Innovation Capabilities Act”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4084-nuclear-energy-innovation-capabilities-act
Markups,10/08/2015,Full Committee Markup - H.R. 3033 and H.R. 3293,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-3033-and-hr-3293
Markups,09/10/2015,Subcommittee on Research and Technology Markup - H.R.____ and H.R. 2886,https://republicans-science.house.gov/legislation/markups/subcommittee-research-and-technology-markup-hr-and-hr-2886
Markups,05/13/2015,Full Committee Markup - H.R. 2262; H.R. 1508; H.R. 2261; and H.R. 2263,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2262-hr-1508-hr-2261-and-hr-2263
Markups,04/30/2015,"Full Committee Markup - H.R. 2039, the National Aeronautics and Space Administration Authorization Act for 2016 and 2017",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2039-national-aeronautics-and-space-administration
Markups,04/22/2015,"H.R. 1806, the America COMPETES Reauthorization Act of 2015",https://republicans-science.house.gov/legislation/markups/hr-1806-america-competes-reauthorization-act-2015
Markups,03/25/2015,Full Committee Markup - The Weather Research and Forecast Innovation Act of 2015,https://republicans-science.house.gov/legislation/markups/full-committee-markup-weather-research-and-forecast-innovation-act-2015
Markups,03/04/2015,"Full Committee Markup - H.R. 1119, H.R. 1156, H.R. 1162, H.R. 1158, H.R. 874",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-1119-hr-1156-hr-1162-hr-1158-hr-874
Markups,02/25/2015,"Full Committee Markup - H.R. 1030 The Secret Science Reform Act of 2015, H.R. 1029 The EPA Science Advisory Board Reform Act of 2015",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-1030-secret-science-reform-act-2015-hr-1029-epa-science
Markups,01/27/2015,Full Committee Business Meeting - Adoption of Committee Rules and Approval of Oversight Plan,https://republicans-science.house.gov/legislation/markups/full-committee-business-meeting-adoption-committee-rules-and-approval-oversight
Markups,07/25/2014,"Full Committee Markup - H.R. 2996, the Revitalize American Manufacturing and Innovation Act of 2013",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2996-revitalize-american-manufacturing-and-innovation
Markups,06/24/2014,"Full Committee Markup - H.R. 4012, Secret Science Reform Act of 2014",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4012-secret-science-reform-act-2014
Markups,06/11/2014,"Subcommitee on Energy Markup - Committee Print of H.R. _______, the “Department of Energy Research and Development Act of 2014”",https://republicans-science.house.gov/legislation/markups/subcommitee-energy-markup-committee-print-hr-department-energy-research-and
Markups,05/28/2014,"Full Committee Markup - S. 1254, H.R. 4186",https://republicans-science.house.gov/legislation/markups/full-committee-markup-s-1254-hr-4186
Hearings,07/21/2021,Environment Subcommittee Hearing - Silent Killer: The Rising Problem of Extreme Heat in the U.S.,https://republicans-science.house.gov/legislation/hearings/environment-subcommittee-hearing-silent-killer-rising-problem-extreme-heat-us
Hearings,07/20/2021,Full Committee Hearing - Spectrum Needs for Observations in Earth and Space Sciences,https://republicans-science.house.gov/legislation/hearings/full-committee-hearing-spectrum-needs-observations-earth-and-space-sciences
Hearings,07/16/2021,Energy Subcommittee Hearing - Fostering Equity in Energy Innovation,https://republicans-science.house.gov/legislation/hearings/energy-subcommittee-hearing-fostering-equity-energy-innovation
Hearings,07/14/2021,Investigations & Oversight Subcommittee Hearing - Principles for Outbreak Investigation: COVID-19 and Future Infectious Diseases,https://republicans-science.house.gov/legislation/hearings/investigations-oversight-subcommittee-hearing-principles-outbreak-investigation
Hearings,06/29/2021,Full Committee Hearing - The State of Federal Wildland Fire Science: Examining Opportunities for Further Research & Coordination,https://republicans-science.house.gov/legislation/hearings/full-committee-hearing-state-federal-wildland-fire-science-examining
Hearings,06/24/2021,Research & Technology Subcommittee Hearing - Plastic Waste Reduction and Recycling Research: Moving from Staggering Statistics to Sustainable Systems,https://republicans-science.house.gov/legislation/hearings/research-technology-subcommittee-hearing-plastic-waste-reduction-and-recycling
Hearings,06/23/2021,Full Committee Hearing - A Review of the President's Fiscal Year 2022 Budget Proposal for NASA,https://republicans-science.house.gov/legislation/hearings/full-committee-hearing-review-presidents-fiscal-year-2022-budget-proposal-nasa
Hearings,06/09/2021,Research & Technology Subcommittee Hearing - Building Regional Innovation Economies,https://republicans-science.house.gov/legislation/hearings/research-technology-subcommittee-hearing-building-regional-innovation-economies
Hearings,06/07/2021,"Environment Subcommittee Hearing - ""Defining a National ‘Oceanshot’: Accelerating Ocean and Great Lakes Science and Technology""",https://republicans-science.house.gov/legislation/hearings/environment-subcommittee-hearing-defining-national-oceanshot-accelerating-ocean
Hearings,05/27/2021,Full Committee Hearing - Overview of the Science and Energy Research Enterprise of the U.S. Department of Energy,https://republicans-science.house.gov/legislation/hearings/full-committee-hearing-overview-science-and-energy-research-enterprise-us
