category,date,title,url
Majority Hearings,Mar 29 2022,,https://transportation.house.gov/committee-activity/hearings/examining-workforce-development-and-job-creation-in-surface-transportation-construction
Majority Hearings,Mar 21 2022,,https://transportation.house.gov/committee-activity/hearings/a-review-of-coast-guard-efforts-to-improve-small-passenger-vessel-safety
Majority Hearings,Mar 17 2022,,https://transportation.house.gov/committee-activity/hearings/aviation-noise-measuring-progress-in-addressing-community-concerns
Majority Hearings,Mar 16 2022,,https://transportation.house.gov/committee-activity/hearings/proposals-for-a-water-resources-development-act-of-2022-members-day-hearing
Minority Hearings,"March 21, 2022",A Review of Coast Guard Efforts to Improve Small Passenger Vessel Safety,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405817
Minority Hearings,"March 17, 2022",Aviation Noise: Measuring Progress in Addressing Community Concerns,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405816
Minority Hearings,"March 16, 2022",Proposals for a Water Resources Development Act of 2022: Members’ Day Hearing,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405807
Minority Press Releases,"March 18, 2022",Sam Graves Statement on the Passing of Don Young,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405827
Minority Press Releases,"March 17, 2022",Ranking Member Garret Graves Statement from Hearing on Aviation Noise Issues,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405824
Minority Press Releases,"March 17, 2022",Sam Graves & Garret Graves Lead House Republicans’ Demand for Immediate End to Transportation Mask Mandate ,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405826
Minority Press Releases,"March 16, 2022",Rouzer Statement from WRDA 2022 Members’ Day Hearing,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405820
Minority Press Releases,"March 16, 2022",T&I Members Request Regular Briefings with FAA on 5G Deployment,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405821
Majority Press Releases,"March 21, 2022",Chair Carbajal Statement from Field Hearing on Strengthening Small Passenger Vessel Safety,https://transportation.house.gov/news/press-releases/chair-carbajal-statement-from-field-hearing-on-strengthening-small-passenger-vessel-safety
Majority Press Releases,"March 19, 2022",Chair DeFazio Mourns the Passing of Rep. Don Young,https://transportation.house.gov/news/press-releases/chair-defazio-mourns-the-passing-of-rep-don-young
Majority Press Releases,"March 18, 2022","Chairs DeFazio, Carbajal Announce Field Hearing on the U.S. Coast Guard’s Efforts to Improve Vessel Safety",https://transportation.house.gov/news/press-releases/chairs-defazio-carbajal-announce-field-hearing-on-the-us-coast-guards-efforts-to-improve-vessel-safety
Majority Press Releases,"March 17, 2022","Chairs DeFazio, Larsen Statements from Hearing on Mitigating Aviation Noise",https://transportation.house.gov/news/press-releases/chairs-defazio-larsen-statements-from-hearing-on-mitigating-aviation-noise
Majority Press Releases,"March 16, 2022",T&I Members Request Regular Briefings with FAA on 5G Deployment,https://transportation.house.gov/news/press-releases/tandi-members-request-regular-briefings-with-faa-on-5g-deployment
Majority Press Releases,"March 16, 2022","Chairs DeFazio, Napolitano Statements from Members’ Day Hearing for WRDA 2022",https://transportation.house.gov/news/press-releases/chairs-defazio-napolitano-statements-from-members-day-hearing-for-wrda-2022
