category,date,time,title,urls
Press Release,12/16/21,,"McGovern, Meeks, Lee, Rush Lead 114 Members of Congress Calling for Biden Administration to Support Human Rights & Humanitarian Needs in Cuba",https://foreignaffairs.house.gov/press-releases?ID=A772B8C9-C516-42E3-B8C9-C308EC96DB97
Press Release,12/15/21,,"Wyden, Schiff, Meeks and Maloney Lead House and Senate Democrats in Calling for Magnitsky Act Sanctions Against Companies That Enable Human Rights Abuses",https://foreignaffairs.house.gov/press-releases?ID=CFF20FF8-C46A-4A25-9C88-F348529A6D9D
