category,date,title,url,summary
Press Release,"Nov 18, 2021",Pallone Praises House Passage of Build Back Better Act,https://energycommerce.house.gov/newsroom/press-releases/pallone-praises-house-passage-of-build-back-better-act,Pallone's statement on House passage of the Build Back Better Act.
Markups,11/17/2021,"Markup of 12 Bills, Full Committee (November 17, 2021)",https://energycommerce.house.gov/committee-activity/markups/markup-of-12-bills-full-committee-november-17-2021,
Press Release,"Nov 17, 2021",E&C Announces Two Legislative Hearings in December Focused on Big Tech Accountability ,https://energycommerce.house.gov/newsroom/press-releases/ec-announces-two-legislative-hearings-in-december-focused-on-big-tech,Energy and Commerce Committee announces two legislative hearings in December focused on Big Tech accountability.
Press Release,"Nov 17, 2021",Pallone Applauds Committee Passage of 12 Bipartisan Bills,https://energycommerce.house.gov/newsroom/press-releases/pallone-applauds-committee-passage-of-12-bipartisan-bills,Pallone's statement on Full Committee passage of 12 bipartisan bills.
Press Release,"Nov 17, 2021",Pallone Remarks at Full Committee Markup of 12 Bills,https://energycommerce.house.gov/newsroom/press-releases/pallone-remarks-at-full-committee-markup-of-12-bills,"Chairman Pallone's opening remarks at a full Committee markup of 12 bills out of the Health, Communications and Technology, and Consumer Protection and Commerce subcommittees."
