category,date,title,url
Minority Markups,"July 28, 2021","Full Committee Markup (July 28, 2021)",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405515
Majority Press Releases,"July 28, 2021","T&I Committee Advances Multiple Bills During Markup, Including Legislation to Prevent a Race to the Bottom in International Civil Aviation",https://transportation.house.gov/news/press-releases/tandi-committee-advances-multiple-bills-during-markup-including-legislation-to-prevent-a-race-to-the-bottom-in-international-civil-aviation
Majority Hearings,Jul 29 2021,,https://transportation.house.gov/committee-activity/hearings/assessing-the-federal-governments-covid-19-relief-and_response-efforts-and-its-impact
Minority Hearings,"July 29, 2021",Assessing the Federal Government’s COVID-19 Relief and Response Efforts and its Impact,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405516
Minority Press Releases,"July 28, 2021",Committee Approves E-BRIDGE Act to Improve Rural Broadband and Other Legislation ,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405520
Majority Markups,Jul 28 2021,,https://transportation.house.gov/committee-activity/hearings/07/26/2021/full-committee-markup
Majority Press Releases,"July 27, 2021",Chairs DeFazio and Napolitano Applaud the Biden EPA’s Move to Strengthen Clean Water Protections Against Pollution from Coal-Fired Power Plants,https://transportation.house.gov/news/press-releases/chairs-defazio-and-napolitano-applaud-the-biden-epas-move-to-strengthen-clean-water-protections-against-pollution-from-coal-fired-power-plants
Majority Press Releases,"July 26, 2021",T&I Chair DeFazio Challenges Proposed Canadian National and Kansas City Southern Railroad Merger Trust,https://transportation.house.gov/news/press-releases/tandi-chair-defazio-challenges-proposed-canadian-national-and-kansas-city-southern-railroad-merger-trust
Majority Press Releases,"July 26, 2021",Chair DeFazio Introduces Legislation to Name the Department of Transportation After Secretary Norman Yoshio Mineta ,https://transportation.house.gov/news/press-releases/chair-defazio-introduces-legislation-to-name-the-department-of-transportation-after-secretary-norman-yoshio-mineta-
Majority Press Releases,"July 26, 2021",House Committee on Transportation and Infrastructure to Hold Markup,https://transportation.house.gov/news/press-releases/07/26/2021/house-committee-on-transportation-and-infrastructure-to-hold-markup
Majority Press Releases,"July 23, 2021",Chair DeFazio Announces Committee Hearing to Assess the Federal Government’s COVID-19 Relief and Response Efforts,https://transportation.house.gov/news/press-releases/chair-defazio-announces-committee-hearing-to-assess-the-federal-governments-covid-19-relief-and-response-efforts
Majority Hearings,Jul 28 2021,,https://transportation.house.gov/committee-activity/hearings/07/26/2021/full-committee-markup
