category,date,title,url
Majority Hearings,Oct 06 2021,,https://transportation.house.gov/committee-activity/hearings/emerging-contaminants-forever-chemicals-and-more-challenges-to-water-quality-public-health-and-communities
Majority Press Releases,"October 08, 2021","Chairs DeFazio, Carbajal, and Payne, Jr. Statements on Critical Federal Steps Taken Following Oil Spill in Southern California",https://transportation.house.gov/news/press-releases/chairs-defazio-carbajal-and-payne-jr-statements-on-critical-federal-steps-taken-following-oil-spill-in-southern-california
Majority Press Releases,"October 06, 2021","DeLauro, DeFazio, McGovern, and Kildee Urge EPA Administrator Regan to Fully Address PFAS Pollution",https://transportation.house.gov/news/press-releases/delauro-defazio-mcgovern-and-kildee-urge-epa-administrator-regan-to-fully-address-pfas-pollution
Majority Press Releases,"October 06, 2021","Chair Napolitano Statement from Hearing on Emerging Contaminants, Forever Chemicals, and More: Challenges to Water Quality and Public Health",https://transportation.house.gov/news/press-releases/chair-napolitano-statement-from-hearing-on-emerging-contaminants-forever-chemicals-and-more-challenges-to-water-quality-and-public-health
Minority Press Releases,"October 7, 2021",Republican Leaders Call Out President for Pressuring Air Carriers to Require Vaccinations and Fire Employees Who Don’t Comply,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405631
Minority Press Releases,"October 6, 2021",Rouzer Statement from Hearing on Emerging Contaminants,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405630
Minority Hearings,"October 6, 2021","Emerging Contaminants, Forever Chemicals, and More: Challenges to Water Quality, Public Health, and Communities",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405629
