category,date,title,url,description
Press Releases,03.03.2022,E&C Republican Leaders Send Letters to Sec. Granholm and FERC Urging Approval of LNG Export Facilities and Natural Gas Pipelines,https://republicans-energycommerce.house.gov/news/ec-republican-leaders-send-letters-to-sec-granholm-and-ferc-urging-approval-of-lng-export-facilities-and-natural-gas-pipelines/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) and Energy Subcommittee Republican Leader Fred Upton (R-MI) sent letters to Secretary of Energy Jennifer Granholm and to the Commissioners of the Federal Energy Regulatory Commission (FERC) urging them to immediately approve delayed permits for natural gas pipelines and liquefied natural gas (LNG) export facilities in order to strengthen America’s energy security and weaken Russia’s ability to harm our European allies."
Press Releases,03.02.2022,Leader Rodgers Statement on Senate Striking President’s Vaccine Mandate,https://republicans-energycommerce.house.gov/news/leader-rodgers-statement-on-senate-striking-presidents-vaccine-mandate/,"Washington,D.C.— Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement about the Senate’s action on the resolution under the Congressional Review Act (CRA) that will halt President Joe Biden’s vaccine mandate for Medicare and Medicaid providers. "
Press Releases,03.02.2022,Leader Rodgers on Answers We Need to Restore Trust in Public Health,https://republicans-energycommerce.house.gov/news/leader-rodgers-on-answers-we-need-to-restore-trust-in-public-health/,"Washington, D.C. — Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) delivered the following remarks in today’s Oversight & Investigations Subcommittee hearing on lessons learned from the COVID-19 pandemic."
Press Releases,03.02.2022,Oversight Subcommittee Leader Griffith Opening Remarks on Lessons Learned From the COVID-19 Pandemic,https://republicans-energycommerce.house.gov/news/oversight-subcommittee-leader-griffith-opening-remarks-on-lessons-learned-from-the-covid-19-pandemic/,"Washington, D.C. — Energy and Commerce Committee Republican Leader for Oversight and Investigations Morgan Griffith (R-VA) delivered opening remarks at today’s Oversight and Investigations Subcommittee hearing on the lessons learned from the COVID-19 pandemic."
Press Releases,03.01.2022,Leader Rodgers on the President’s Remarks on Privacy Protections and Protecting Kids Online,https://republicans-energycommerce.house.gov/news/press-release/leader-rodgers-on-the-presidents-remarks-on-privacy-protections-and-protecting-kids-online/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement in response to President Biden’s calls to strengthen privacy protections and protect kids online in his State of the Union address.  "
Press Releases,03.01.2022,Leader Rodgers Statement on Ending the COVID-19 Pandemic,https://republicans-energycommerce.house.gov/news/leader-rodgers-statement-on-ending-the-covid-19-pandemic/,"Washington, D.C.— House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement about President Biden’s State of the Union remarks on the COVID-19 pandemic: "
Press Releases,03.01.2022,Leader Rodgers on the President’s Remarks on China,https://republicans-energycommerce.house.gov/news/leader-rodgers-on-the-presidents-remarks-on-china/,"Washington, D.C. — House Energy and Commerce Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement in response to President Biden’s remarks on countering China with more spending in his State of the Union address.  "
Press Releases,03.01.2022,Leader Rodgers Statement on President Biden’s Inflation Crisis,https://republicans-energycommerce.house.gov/news/leader-rodgers-statement-on-president-bidens-inflation-crisis/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement following President Biden’s remarks during the State of the Union on jobs, inflation, and the economy."
Hearings,"March 02, 2022",Lessons from the Frontline: COVID-19’s Impact on American Health Care,https://republicans-energycommerce.house.gov/hearings/lessons-from-the-frontline-covid-19s-impact-on-american-health-care/,https://youtu.be/7ZIpXHPT96E
Hearings,"March 01, 2022",Holding Big Tech Accountable: Legislation to Protect Online Users,https://republicans-energycommerce.house.gov/hearings/holding-big-tech-accountable-legislation-to-protect-online-users/,https://youtu.be/0mY6teAxDs8
