category,date,title,url
News,"Oct 22, 2021","Obernolte, Lucas Request Clarification on COVID Booster Shot Recommendations",https://republicans-science.house.gov/news/press-releases/obernolte-lucas-request-clarification-covid-booster-shot-recommendations-0
News,"Oct 22, 2021","Obernolte, Lucas Request Clarification on COVID Booster Shot Recommendations",https://republicans-science.house.gov/news/press-releases/obernolte-lucas-request-clarification-covid-booster-shot-recommendations
News,"Oct 21, 2021",Lucas and Republican Colleagues Urge Biden to Prioritize Supply Chain Crisis,https://republicans-science.house.gov/news/press-releases/lucas-and-republicans-urge-biden-prioritize-supply-chain-crisis
Hearings,10/21/2021,Joint Investigations & Oversight and Energy Subcommittees Hearing - Judicious Spending to Enable Success at the Office of Nuclear Energy,https://republicans-science.house.gov/legislation/hearings/joint-investigations-oversight-and-energy-subcommittees-hearing-judicious
