category,date,title,url,summary
Press Releases,11.18.21,"McCaul, Cuellar on the North American Leaders’ Summit",https://gop-foreignaffairs.house.gov/press-release/mccaul-cuellar-on-the-north-american-leaders-summit/,"Washington, D.C. – Chairman of the U.S.-Mexico Interparliamentary Group (IPG) Henry Cuellar (D-TX) and Ranking Member Michael McCaul (R-TX) released the following statement ahead of today’s North…"
Press Releases,11.17.21,McCaul and Kaptur Renew Calls for Nord Stream 2 Sanctions in the NDAA,https://gop-foreignaffairs.house.gov/press-release/mccaul-and-kaptur-renew-calls-for-nord-stream-2-sanctions-in-the-ndaa/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul (R-TX) and Co-chair of the Congressional Ukraine Caucus Marcy Kaptur (D-OH) released the following statement…"
Press Releases,11.17.21,McCaul Praises Reagan Institute Task Force Recommendations to Secure Critical Supply Chains,https://gop-foreignaffairs.house.gov/press-release/mccaul-praises-reagan-institute-task-force-recommendations-to-secure-critical-supply-chains/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has released the following statement on The Reagan Institute’s bipartisan Task Force on National Security and…"
Press Releases,11.16.21,McCaul Headlines Fireside Conversation on China at Milken Institute’s 2021 Asia Summit,https://gop-foreignaffairs.house.gov/press-release/mccaul-headlines-fireside-conversation-on-china-at-milken-institutes-2021-asia-summit/,"Washington, D.C.- Washington, D.C.- House Foreign Affairs Committee Lead Republican Michael McCaul headlined in a fireside conversation about the perils of doing business in China at the Milken…"
Press Releases,11.16.21,"McCaul, HFAC Republicans Blast the “Dangerous Consequences” of Biden’s Russia Policy",https://gop-foreignaffairs.house.gov/press-release/mccaul-hfac-republicans-blast-the-dangerous-consequences-of-bidens-russia-policy/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul led a letter with all Republican Members of the Subcommittee on Europe, Energy, the Environment, and Cyber to…"
Press Releases,11.15.21,McCaul Expands Afghanistan Investigation with Transcribed Interview Requests for 34 Biden Administration Officials,https://gop-foreignaffairs.house.gov/press-release/mccaul-expands-afghanistan-investigation-with-transcribed-interview-requests-for-34-biden-administration-officials/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul is expanding his ongoing investigation into the botched withdrawal from Afghanistan by requesting transcribed…"
Press Releases,11.14.21,McCaul Urges Biden to Address CCP’s Malign Behavior and Human Rights Violations Ahead of Meeting with Chairman Xi,https://gop-foreignaffairs.house.gov/press-release/mccaul-urges-biden-to-address-ccps-malign-behavior-and-human-rights-violations-ahead-of-meeting-with-chairman-xi/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has released the following statement ahead of Monday’s meeting between President Joe Biden and Chairman Xi…"
Press Releases,11.12.21,"McCaul, Meeks, Risch, Menendez Joint Statement on Houthi Breach of U.S. Embassy in Yemen",https://gop-foreignaffairs.house.gov/press-release/mccaul-meeks-risch-menendez-joint-statement-on-houthi-breach-of-u-s-embassy-in-yemen/,"Washington, D.C. — House Foreign Affairs Committee Lead Republican Michael McCaul (R-TX) and Rep. Gregory Meeks (D-NY), Chairman and Ranking Member of the House Foreign Affairs Committee, and U.S…."
Markups,"Thursday, November 18, 2021",Personnel is Policy: UN Elections and US Leadership in International Organizations,https://gop-foreignaffairs.house.gov/hearing/personnel-is-policy-un-elections-and-us-leadership-in-international-organizations/,
Markups,"Wednesday, November 17, 2021",The FY22 Budget: State Department Counterterrorism Bureau,https://gop-foreignaffairs.house.gov/hearing/the-fy22-budget-state-department-counterterrorism-bureau/,
Markups,"Tuesday, November 16, 2021",The Biden Administration’s Policy Priorities for Latin America and the Caribbean,https://gop-foreignaffairs.house.gov/hearing/the-biden-administrations-policy-priorities-for-latin-america-and-the-caribbean/,
